id,body
1,"居室の空気中において、一般に、二酸化炭素の許容濃度は0.1％(1,000ppm)であり、毒性の強い一酸化炭素の許容濃度は0.001％(10ppm)である。"
2,換気回数は、室の１時間当たりの換気量を室容積で除した値である。
3,第３種機械換気方式は、室内を負圧に保持し、室外への汚染質の流出を防ぐことができるので、便所などに用いられる。
4,汚染質が発生している室における必要換気量は、その室の容積の大小によって変化する。
5,２階建の住宅において、屋内の温度よりも外気温が低い場合、下階には外気が入ってくる力が生じ、上階には屋内の空気が出ていく力が生じる。
6,ガスコンロを使用する台所に設ける換気扇の有効換気量の算定には、理論廃ガス量が関係する。
7,便所や浴室の換気については、室内圧を周囲の空間よりも低く保つように、一般に、自然給気と機械排気を行う。
8,居室における全般換気は、一般に、居室全体に対して換気を行い、その居室における汚染質の濃度を薄めることをいう。
9,居室における必要換気量は、一般に、成人１人当たり30må/h程度とされている。
10,温度差による自然換気の効果を高めるためには、給気口と排気口の高低差を小さくする。
11,居室における全般換気とは、一般に、室全体に対して換気を行い、その室における汚染質の濃度を薄めることをいう。
12,温度差換気において、外気温度が室内温度よりも高い場合、中性帯よりも下方から外気が流入する。
13,居室の必要換気量は、一般に、居室内の二酸化炭素濃度の許容値を基準にして算出する。
14,居室において、一般に、一酸化炭素濃度の許容値は、0.001％(10ppm)である。
15,日本工業規格(JIS)及び日本農林規格(JAS)において定められているホルムアルデヒド放散量による等級区分の表示記号では、ãＦ☆☆☆」よりãＦ☆☆☆☆」のほうが放散量は小さい。
16,換気回数は、室の１時間当たりの換気量を室容積で除した値である。
17,汚染質が発生している室における必要換気量は、汚染質の発生量が同じ場合、その室の容積の大小によって変化する。
18,第３種機械換気方式は、室内を負圧に保持することにより、周辺諸室への汚染質の流出を防ぐことができるので、便所などに用いられる。
19,温度差換気において、外気温度が室内温度よりも低い場合、中性帯よりも下方から外気が流入する。
20,"居室の空気中において、一般に、二酸化炭素の許容濃度は0.1％（1,000ppm）であり、毒性の強い一酸化炭素の許容濃度は0.001％（10ppm）である。"
21,居室の必要換気量は、一般に、居室内の二酸化炭素濃度の許容値を基準にして算出する。
22,開放型燃焼器具に対する必要換気量は、一般に、燃料消費量に対する理論廃ガス量の40倍である。
23,2階建ての住宅において、屋内の温度よりも外気温が低い場合、下階には外気が入ってくる力が生じ、上階には屋内の空気が出ていく力が生じる。
24,第2種機械換気方式は、室内を負圧に維持することにより、周辺諸室への汚染空気の流出を防ぐものである。
25,居室内の一酸化炭素濃度の許容値は、一般に、0.001％（10ppm）である。
26,送風機を給気側又は排気側のどちらかに設ける場合、室内の汚染空気を他室へ流出させないようにするには、排気側へ設ける。
27,室内のある点の空気が、流出口までに達するのに要する平均時間を空気齢という。
28,温度差による自然換気の効果を高めるためには、給気口と排気口の高低差を大きくする。
29,透湿とは、多孔質材料等の壁の両側に水蒸気圧差がある場合、水蒸気圧の高いほうから低いほうへ壁を通して湿気が移動することである。
30,JIS及びJASにおけるホルムアルデヒド放散量による等級区分の表示記号では、「Ｆ☆☆☆」より「Ｆ☆☆☆☆」のほうが放散量は小さい。
31,開放型燃焼器具に対する必要換気量は、一般に、燃料消費量に対する理論廃ガス量の40倍である。
32,"居室の空気中において、一般に、二酸化炭素の許容濃度は0.1％（1,000ppm）であり、毒性の強い一酸化炭素の許容濃度は0.001％（10ppm）である。"
33,温度差換気において、外気温度が室内温度よりも低い場合、中性帯よりも下方から外気が流入する。
34,第2種機械換気方式は、室内を正圧に維持することにより、周辺諸室からの汚染空気の流入を防ぐものである。
35,汚染物質が発生している室における必要換気量は、汚染物質の発生量が同じ場合、その室の容積の大小によって変化する。
36,室における全般換気とは、室全体に対して換気を行い、その室における汚染質の濃度を薄めることをいう。
37,送風機を給気側又は排気側のどちらかに設ける場合、室内の汚染空気を他へ流出させないようにするには、排気側へ設ける。
38,空気齢とは、室内のある点の空気が、流出口までに達するのに要する平均時間のことをいう。
39,透湿とは、多孔質材料等の壁の両側に水蒸気圧差がある場合、水蒸気圧の高いほうから低いほうへ壁を通して湿気が移動することである。
40,居室の必要換気量は、一般に、居室内の二酸化炭素濃度の許容値を基準にして算出する。
